tenure,MonthlyCharges,Number_of_InternetServices,Churn
57,74.35,4,0
15,48.85,1,0
4,80.1,1,0
28,56.05,2,0
9,74.55,0,1
55,89.8,2,0
3,100.95,3,1
10,94.9,3,1
55,19.1,0,0
20,20.35,0,0
62,106.05,4,0
32,104.9,4,1
43,19.65,0,0
9,24.1,0,1
60,59.85,3,0
58,86.1,5,0
7,19.45,0,0
2,97.1,3,0
37,36.65,2,0
65,103.9,4,0
39,19.75,0,0
66,104.05,4,1
68,24.55,0,0
62,48.7,4,0
3,88.35,3,1
72,109.55,5,0
41,20.65,0,0
29,94.65,3,1
4,55.2,2,0
53,24.05,0,0
1,74.4,0,1
41,79.9,5,1
39,20.45,0,0
63,19.25,0,0
15,26.35,0,0
13,43.8,0,0
1,50.15,1,0
1,20.45,0,0
8,69.7,0,1
60,61.4,3,0
12,98.1,3,1
40,70.75,3,0
66,61.15,3,0
42,20.25,0,0
66,63.85,3,0
49,98.7,3,0
1,20.5,0,1
41,20.0,0,0
41,19.3,0,0
23,84.4,3,0
3,25.1,0,0
4,48.25,4,0
52,19.85,0,0
4,99.6,3,1
11,94.2,4,0
2,62.15,2,0
26,79.3,1,0
24,56.25,2,0
12,20.3,0,0
60,99.0,3,0
64,90.6,6,0
66,85.9,6,0
60,79.2,1,0
17,70.35,3,0
42,19.35,0,0
1,50.15,0,0
47,63.8,3,0
10,20.55,0,0
70,88.55,6,0
67,101.4,3,0
1,81.95,1,1
7,69.35,0,1
1,44.6,0,0
4,63.75,3,0
66,109.25,5,0
12,84.6,2,0
24,20.45,0,0
26,85.75,2,0
6,91.1,2,1
57,107.95,4,0
14,86.1,1,1
42,22.95,0,0
25,94.7,2,1
64,19.45,0,0
22,85.1,1,1
19,19.7,0,0
61,99.15,3,1
22,87.0,2,0
70,102.95,4,1
12,79.95,1,0
31,64.0,3,0
11,64.9,2,0
68,25.75,0,0
72,90.15,6,0
67,116.1,6,0
60,104.95,5,0
1,45.05,0,1
1,71.0,0,1
58,50.0,4,0
47,70.55,0,1
1,79.7,1,1
1,20.45,0,0
22,59.0,2,1
48,60.35,3,1
37,19.85,0,0
13,19.95,0,0
43,26.45,0,0
6,63.4,6,0
71,53.95,5,0
1,69.25,0,1
72,95.1,3,0
6,74.1,1,0
12,35.5,2,0
25,70.95,0,1
21,79.2,2,0
6,48.8,1,0
20,89.0,2,1
18,99.4,3,1
43,55.45,2,0
35,25.4,0,0
1,73.5,1,1
32,93.5,3,0
52,63.9,6,0
32,64.85,2,0
72,63.8,6,0
51,44.45,3,0
68,19.95,0,0
8,43.35,3,0
49,49.65,3,0
72,85.1,6,0
9,95.5,2,1
28,92.35,3,1
54,89.8,3,0
11,74.55,1,1
50,103.05,4,0
69,116.0,6,0
1,69.9,0,0
68,95.1,4,0
40,40.25,3,0
31,25.75,0,0
33,105.35,4,0
55,113.6,5,0
68,24.0,0,0
12,19.4,0,0
71,86.1,6,0
40,102.65,4,0
64,92.85,3,0
53,97.75,3,0
12,83.8,3,1
53,54.45,4,1
72,97.95,4,0
46,19.95,0,0
40,24.6,0,0
12,50.95,4,0
9,75.6,1,0
51,80.75,1,0
49,90.4,3,0
41,99.8,3,1
56,60.25,3,0
4,20.2,0,0
20,64.15,3,0
26,20.25,0,0
20,105.85,4,1
7,75.45,0,1
7,93.85,2,1
51,99.0,4,0
4,80.3,1,0
1,19.55,0,0
27,100.75,4,0
22,100.75,3,1
12,53.75,2,0
3,31.0,1,1
34,25.6,0,0
24,58.35,2,0
51,80.0,1,1
14,46.35,2,0
59,113.75,6,0
3,90.4,3,0
65,109.3,5,0
5,70.25,0,1
59,90.3,6,0
72,65.25,6,0
62,100.15,4,1
28,94.5,3,1
3,60.65,2,0
19,24.1,0,0
1,19.5,0,0
24,85.95,3,0
57,53.5,2,0
72,25.45,0,0
67,20.5,0,0
52,20.85,0,0
71,89.9,6,0
26,26.0,0,0
35,113.2,6,0
55,69.05,0,0
33,20.1,0,0
72,109.65,5,0
1,19.2,0,0
10,33.9,1,1
37,90.0,3,0
12,34.0,2,0
1,20.4,0,0
62,38.6,3,0
1,25.25,0,0
18,60.6,2,0
69,89.95,2,1
2,74.75,1,0
19,20.6,0,0
12,84.45,1,1
9,20.4,0,0
27,81.7,5,0
27,79.5,1,1
1,89.15,2,1
24,20.3,0,0
14,74.95,0,1
32,74.4,1,1
11,20.0,0,0
1,25.0,0,0
38,80.45,1,0
9,19.75,0,0
54,65.65,3,0
29,71.0,2,0
44,89.2,2,0
59,86.75,6,0
3,55.3,1,1
18,61.5,3,0
67,25.1,0,0
22,55.15,2,1
33,34.05,2,0
5,19.95,0,0
2,19.95,0,0
72,89.7,6,0
9,20.4,0,0
67,26.3,0,0
16,84.95,1,1
8,20.7,0,0
5,43.25,4,1
23,48.35,0,1
1,79.55,1,1
50,71.05,0,1
17,19.45,0,0
68,110.8,5,0
1,84.5,1,1
25,69.3,0,0
67,49.35,4,0
32,20.35,0,0
67,105.6,4,0
72,64.45,6,0
71,108.6,5,1
1,49.9,1,0
46,30.3,1,1
2,30.4,1,1
1,45.4,0,1
48,65.65,3,0
61,103.3,4,0
32,84.15,2,1
2,44.45,0,0
3,19.75,0,1
5,85.4,2,1
71,89.9,6,0
37,55.05,1,0
65,104.1,4,0
67,106.6,4,0
49,75.2,0,1
50,70.5,3,0
25,19.6,0,0
17,55.85,1,1
64,24.05,0,0
25,38.1,2,0
23,106.4,4,1
24,34.25,2,0
37,100.05,3,0
21,68.65,0,0
1,45.8,0,0
10,75.75,0,0
6,84.4,2,1
51,96.4,3,0
10,20.55,0,0
6,50.95,4,0
47,90.5,6,0
61,79.4,5,0
52,58.75,5,0
35,59.45,2,0
71,105.7,4,0
6,56.25,2,1
45,53.3,2,0
2,85.55,1,1
4,68.65,3,1
2,24.3,0,0
4,77.85,1,1
51,59.9,2,0
60,23.95,0,0
9,20.15,0,0
3,105.35,4,1
17,95.65,3,0
8,87.05,1,1
46,81.0,5,0
68,82.45,6,0
1,53.5,1,1
4,20.5,0,0
1,25.1,0,1
28,54.4,2,0
39,58.6,2,0
11,84.8,2,0
71,61.4,5,0
2,20.4,0,0
30,79.65,2,1
17,20.15,0,0
55,94.45,3,0
58,79.8,1,0
5,54.2,2,1
1,19.45,0,1
9,74.05,0,0
26,49.15,1,0
50,19.4,0,0
72,113.65,6,0
43,106.0,5,0
56,25.95,0,0
1,19.1,0,0
72,103.4,4,1
72,100.55,4,0
36,95.4,2,0
5,75.15,4,0
13,84.45,2,1
44,89.15,3,0
70,107.9,5,0
44,19.5,0,0
32,85.95,1,1
69,24.95,0,0
16,59.4,2,1
68,19.5,0,0
16,69.95,0,0
68,82.85,5,0
4,19.0,0,0
26,38.85,3,0
29,30.6,1,1
5,20.35,0,0
70,95.0,3,0
24,74.4,4,0
72,78.45,5,0
1,74.3,1,0
70,51.05,4,0
36,19.2,0,0
38,99.55,3,1
17,70.0,0,1
41,109.1,5,0
1,45.3,0,1
2,29.85,1,1
14,76.45,1,0
2,95.1,4,1
1,19.8,0,1
13,72.8,4,0
6,18.95,0,0
4,76.65,1,1
5,99.15,4,1
15,101.75,4,0
47,75.45,1,0
8,64.1,3,0
17,25.65,0,0
15,75.1,1,0
26,95.85,4,0
23,54.4,1,0
4,72.75,1,0
29,19.85,0,0
25,19.05,0,0
9,44.95,0,1
18,49.55,1,1
3,94.85,2,0
69,46.25,4,0
14,19.35,0,0
19,69.6,2,0
39,90.7,2,0
31,101.4,4,0
24,20.25,0,0
14,48.8,1,0
64,74.35,5,0
50,19.35,0,0
52,68.75,4,0
28,100.2,3,0
21,20.85,0,0
25,95.9,3,1
17,19.35,0,0
58,45.0,2,0
17,81.5,1,1
51,25.5,0,0
72,48.9,4,0
52,84.1,2,1
27,19.6,0,0
3,20.0,0,0
64,81.3,5,0
45,95.2,3,0
3,36.45,1,1
71,83.3,5,0
1,25.05,0,1
58,20.3,0,0
34,89.85,3,0
8,49.85,1,1
15,19.8,0,0
66,54.65,4,0
12,29.35,1,0
58,19.15,0,0
3,19.1,0,0
43,55.55,4,1
9,80.55,2,0
3,20.25,0,0
22,69.5,3,1
40,106.0,4,0
68,25.5,0,0
54,104.3,4,1
50,79.6,4,0
1,55.25,1,0
72,88.05,6,0
40,20.4,0,0
72,117.6,6,0
6,20.0,0,0
5,19.65,0,0
48,70.55,3,0
1,93.85,2,1
64,65.8,3,0
17,20.05,0,0
40,80.0,2,0
41,35.4,2,0
51,79.6,1,0
41,80.25,1,0
1,50.45,1,1
2,20.45,0,0
68,79.6,2,0
24,24.7,0,0
70,77.3,4,0
3,29.75,1,0
2,44.9,0,0
3,29.8,1,0
7,74.65,3,1
13,71.95,3,0
7,20.75,0,0
12,56.3,1,0
53,105.25,4,0
12,94.2,2,1
63,19.55,0,0
15,84.45,6,0
36,53.65,2,0
4,29.9,1,0
24,19.7,0,0
61,43.7,4,0
16,55.3,1,0
65,19.85,0,0
26,19.65,0,0
16,49.45,1,0
54,106.55,4,1
1,20.1,0,1
5,20.45,0,0
19,39.7,2,0
10,54.5,1,0
23,83.8,3,1
3,55.15,1,1
72,111.6,5,0
10,86.65,1,1
10,55.55,2,0
11,20.55,0,0
37,106.75,4,1
17,62.1,2,0
36,104.5,4,0
17,101.8,4,0
66,110.6,5,0
61,84.9,6,0
22,93.2,3,0
1,24.4,0,0
6,70.55,0,0
31,78.45,2,1
68,85.0,6,0
34,87.45,2,1
52,85.8,3,0
10,91.1,3,0
29,70.75,0,1
72,20.1,0,0
47,20.05,0,0
24,74.8,3,0
65,24.8,0,0
4,100.85,3,0
12,101.35,3,1
1,81.7,1,1
33,68.25,0,1
34,105.1,5,0
14,20.4,0,0
4,79.15,1,1
13,20.0,0,0
65,79.4,4,0
23,57.2,2,0
55,58.6,3,0
49,94.8,3,0
60,102.5,4,0
69,20.35,0,0
40,84.9,1,0
67,69.2,4,0
35,95.45,2,1
19,100.95,3,1
13,20.85,0,0
41,88.5,2,0
4,35.0,2,0
24,55.15,2,0
5,50.95,3,0
5,64.0,2,0
1,69.1,0,1
72,80.2,5,0
24,49.3,1,0
42,84.35,5,0
4,20.05,0,0
68,117.2,6,0
33,20.1,0,0
1,69.6,0,1
31,103.45,4,1
4,77.95,1,1
69,109.95,5,0
38,94.75,2,0
3,80.0,2,0
48,79.65,4,0
15,25.2,0,0
25,19.9,0,0
1,78.45,1,1
48,44.8,3,0
1,20.3,0,0
1,19.2,0,0
37,80.05,2,0
66,107.35,5,0
26,47.85,4,0
63,70.8,4,0
10,29.5,1,1
2,70.75,3,1
18,59.1,2,0
64,25.55,0,0
9,84.45,1,1
28,20.25,0,0
1,75.55,1,0
4,85.65,1,1
38,70.15,4,1
66,95.3,3,0
1,70.25,0,0
18,50.3,1,0
51,97.8,3,1
0,19.85,0,0
1,46.3,0,1
12,19.35,0,0
41,106.3,4,1
12,25.0,0,0
55,20.3,0,0
7,75.35,0,0
12,89.4,3,1
68,88.0,6,0
5,83.15,1,1
49,43.8,0,0
40,62.05,5,0
16,20.1,0,0
10,74.15,0,1
72,101.35,4,0
2,84.05,1,0
23,20.9,0,0
71,105.9,4,0
11,99.5,3,1
1,44.15,0,1
16,53.9,2,1
1,85.45,1,1
12,85.05,2,0
54,44.1,3,0
68,90.2,3,0
4,50.85,0,1
1,59.2,2,1
27,53.45,2,0
21,19.95,0,0
13,83.2,2,1
64,74.65,4,0
1,54.9,2,1
57,57.5,5,0
21,103.9,4,1
19,19.65,0,0
31,93.8,3,0
52,89.25,6,0
46,94.15,3,0
11,55.6,1,0
53,48.7,4,0
11,19.25,0,1
57,104.9,4,0
2,75.45,0,1
2,54.85,2,1
71,19.9,0,0
1,19.4,0,0
68,25.05,0,0
72,84.45,6,0
2,19.3,0,0
1,95.1,2,1
41,79.85,5,0
72,25.55,0,0
6,75.5,0,1
4,73.75,1,1
12,96.05,2,1
58,68.4,3,0
7,20.65,0,0
65,55.15,2,0
1,70.6,0,0
56,19.95,0,0
4,19.0,0,0
58,44.1,0,0
62,107.6,4,0
26,61.55,2,0
62,90.7,3,0
58,99.25,4,0
68,91.7,6,0
61,100.7,4,0
42,78.45,4,0
18,84.3,1,0
56,19.55,0,0
4,88.95,2,1
4,20.45,0,0
35,55.6,2,0
64,86.8,2,0
31,20.95,0,0
67,20.05,0,0
4,50.7,1,1
70,113.65,6,0
3,53.4,1,1
53,101.9,3,1
2,59.5,3,0
29,87.8,2,0
47,41.9,3,0
68,83.0,1,1
12,69.85,3,0
8,56.3,2,0
54,109.55,5,0
69,92.15,3,0
26,69.5,3,0
72,97.0,4,0
70,58.35,5,0
1,50.6,1,1
10,89.5,2,1
28,70.4,0,0
1,69.8,0,1
21,94.3,2,0
51,93.8,3,1
53,19.55,0,0
53,95.95,4,0
24,101.05,3,1
70,94.8,6,0
61,107.75,5,0
11,54.6,2,0
2,71.3,0,0
25,19.5,0,0
41,56.3,1,0
18,94.7,2,1
72,104.15,4,1
71,90.55,6,0
34,60.8,3,0
29,98.8,4,0
40,98.15,5,0
36,35.35,2,0
46,103.15,4,0
58,107.75,5,0
39,81.4,1,0
4,61.45,2,1
52,95.7,3,0
70,104.8,4,0
65,70.95,0,0
1,44.95,0,0
70,97.65,3,0
29,35.65,2,0
1,90.55,2,1
67,85.25,5,0
1,19.5,0,0
26,88.8,2,1
30,25.1,0,0
48,100.05,4,0
55,55.7,2,0
7,85.2,1,1
37,91.15,2,0
31,83.85,2,0
4,45.9,0,0
72,25.1,0,0
5,91.4,2,1
1,19.7,0,0
15,91.5,2,0
8,51.3,1,0
35,21.1,0,0
56,104.75,4,0
42,106.15,4,1
65,85.75,2,0
2,20.3,0,0
65,100.75,3,0
18,74.15,0,0
23,78.55,4,0
4,45.3,0,1
70,19.85,0,0
4,50.7,0,0
19,45.0,0,0
18,77.8,2,0
38,83.45,2,0
2,73.25,0,1
47,94.8,3,0
52,20.1,0,0
9,59.9,1,0
26,90.1,6,0
8,51.05,1,1
44,70.95,4,0
3,29.2,1,0
2,46.6,0,0
9,85.35,1,1
1,75.35,0,1
25,74.3,1,0
2,69.3,0,0
43,75.2,1,1
1,20.9,0,1
58,94.3,3,0
59,76.45,4,0
44,54.0,4,0
66,104.25,4,0
68,19.95,0,0
9,24.95,0,0
19,84.75,2,0
4,19.75,0,0
70,113.65,6,0
1,44.9,0,0
8,75.25,0,0
53,24.6,0,0
51,25.0,0,0
11,20.95,0,0
60,110.6,5,0
17,55.5,2,0
3,43.3,0,1
70,109.5,6,1
1,19.45,0,0
43,84.85,1,0
16,19.6,0,0
57,53.45,2,0
37,19.8,0,0
72,112.1,6,0
11,84.8,1,1
50,95.05,3,1
5,50.35,1,1
1,74.6,0,1
16,19.7,0,1
2,74.2,1,0
17,69.0,3,0
16,19.35,0,0
15,59.45,2,1
10,19.8,0,0
46,105.2,5,1
64,109.2,5,0
1,79.15,1,0
25,53.65,2,0
71,100.2,5,0
8,45.15,0,1
72,108.65,6,0
49,40.65,2,0
29,55.35,5,0
72,105.6,5,0
31,93.8,3,1
50,95.7,2,0
71,83.2,5,0
70,90.05,6,0
71,97.65,3,0
61,68.05,4,0
32,96.2,3,1
1,79.6,1,1
68,102.1,4,0
62,23.4,0,0
7,71.05,0,0
20,85.25,1,1
6,19.45,0,0
33,59.45,5,0
28,92.2,2,0
27,19.85,0,0
7,43.9,0,0
26,80.5,1,1
5,89.8,2,1
30,90.5,2,0
63,90.45,2,0
1,50.75,1,1
53,84.6,5,0
14,89.65,3,1
21,99.15,4,0
17,19.95,0,0
16,20.5,0,0
35,62.1,2,0
32,79.5,1,0
28,19.55,0,0
1,20.35,0,0
59,51.7,3,0
72,23.3,0,0
36,65.4,3,1
40,65.1,3,0
40,81.2,1,0
9,72.9,4,1
63,74.5,5,0
3,80.5,1,0
40,60.3,5,0
8,75.0,1,0
34,90.15,3,0
5,40.0,3,1
9,99.45,3,1
9,69.05,3,0
31,59.7,1,0
50,19.85,0,0
2,86.25,3,1
1,45.65,0,1
8,70.1,0,1
9,40.75,2,0
2,70.2,0,1
3,55.35,2,1
25,95.7,3,0
1,46.3,0,0
45,81.3,5,0
51,84.2,2,1
55,20.0,0,0
38,66.15,3,0
2,45.85,0,1
38,19.6,0,0
34,49.8,1,0
70,101.75,3,0
13,55.15,2,0
39,75.25,0,1
61,103.95,4,0
12,100.15,3,1
41,99.65,4,0
21,73.7,0,0
55,50.05,3,0
69,60.25,5,0
26,105.75,4,1
69,87.3,3,0
18,48.35,3,1
47,54.25,1,0
72,85.3,6,0
33,50.0,4,0
2,24.4,0,1
72,90.95,6,0
37,72.25,0,0
62,96.1,3,0
71,19.85,0,0
23,55.3,2,0
16,20.1,0,0
9,69.5,4,0
17,25.15,0,0
4,20.95,0,1
1,49.55,1,1
24,79.65,1,0
1,71.25,0,0
72,113.8,6,0
72,24.55,0,0
11,19.7,0,0
9,20.25,0,1
2,50.15,1,1
60,100.5,3,0
29,95.9,3,1
49,74.45,4,0
30,104.1,4,0
53,19.05,0,0
39,25.0,0,0
9,19.05,0,0
39,81.9,2,0
8,69.7,0,0
51,90.15,2,0
71,25.35,0,0
71,24.65,0,0
70,19.55,0,0
1,25.25,0,1
38,60.0,5,0
28,89.9,3,0
32,19.4,0,0
49,49.8,1,0
37,24.1,0,0
10,54.25,2,0
67,109.9,5,0
7,35.5,2,0
51,87.55,2,0
9,45.15,0,1
9,88.4,2,0
4,50.8,1,0
71,99.0,4,0
50,84.4,1,1
24,96.55,3,0
22,59.75,2,0
44,111.5,5,0
33,24.25,0,0
1,75.1,0,1
54,70.15,2,1
42,101.75,3,1
1,45.8,0,1
1,20.5,0,0
30,70.4,4,0
1,30.55,1,0
16,84.9,5,0
1,20.1,0,1
9,40.65,2,1
46,101.0,3,1
1,69.1,0,1
71,54.5,2,0
43,75.35,0,0
50,44.45,3,0
13,75.0,0,1
19,100.0,4,1
41,98.05,3,0
1,71.15,0,1
24,54.15,4,1
40,63.9,2,0
3,69.15,3,0
37,64.65,2,0
67,108.75,5,1
32,98.85,3,0
6,49.15,1,1
32,89.6,2,0
59,83.25,2,0
30,70.25,4,0
20,19.4,0,1
27,24.5,0,0
20,79.15,1,1
9,20.1,0,0
68,73.0,4,0
69,61.4,2,0
26,84.3,2,0
69,19.9,0,0
11,20.4,0,0
1,50.75,0,0
10,20.45,0,0
55,75.75,4,0
44,65.4,3,0
46,80.4,1,1
69,59.75,3,0
11,78.5,1,0
11,102.0,3,1
29,48.95,1,0
57,99.65,3,0
28,18.25,0,0
42,54.55,2,0
2,20.65,0,1
23,40.65,3,0
18,20.45,0,0
62,24.8,0,0
1,70.8,0,1
16,89.05,2,1
3,96.6,2,1
67,88.8,6,0
62,20.05,0,0
57,104.5,4,1
2,69.8,0,0
23,77.15,4,0
25,35.05,2,0
72,108.1,5,0
2,84.05,1,0
8,20.2,0,0
5,50.6,0,1
35,49.2,3,0
24,24.6,0,0
2,71.65,0,0
72,104.9,5,0
41,106.5,5,0
4,49.35,1,1
26,75.5,1,0
7,94.25,3,1
1,68.95,0,1
4,58.5,2,0
48,78.9,5,0
2,93.85,2,1
12,79.2,5,0
60,109.45,5,0
55,59.2,3,0
1,29.15,1,0
1,20.05,0,0
4,76.05,0,1
1,24.45,0,1
42,66.5,3,0
1,49.55,1,0
7,89.35,2,1
3,73.6,1,0
72,82.65,5,0
15,49.0,0,0
4,80.35,1,1
11,25.2,0,0
5,25.45,0,0
1,55.8,2,1
72,110.9,5,0
55,77.75,1,0
40,26.2,0,0
57,19.9,0,0
1,79.05,1,1
1,95.0,3,1
1,25.2,0,1
52,80.85,4,0
41,98.4,3,1
43,56.35,1,0
47,19.3,0,0
3,50.4,0,0
66,79.4,5,1
55,55.25,2,0
29,19.1,0,0
12,84.05,1,0
66,105.2,4,0
35,101.4,3,1
10,89.8,2,1
27,75.75,0,0
58,95.3,3,0
54,109.75,6,1
9,19.85,0,0
2,19.3,0,1
6,69.1,0,0
26,91.25,2,1
9,20.25,0,0
8,54.75,2,0
12,81.45,1,0
15,49.1,0,1
43,80.2,4,0
42,100.3,3,0
31,65.25,3,1
66,90.95,3,0
18,85.45,2,1
1,20.0,0,0
61,94.1,3,1
10,79.85,1,0
1,71.65,0,1
18,73.55,1,0
24,104.65,4,1
3,19.3,0,0
50,20.15,0,0
1,44.55,0,0
2,54.45,2,0
17,19.65,0,0
69,105.0,4,0
72,88.7,6,0
3,74.25,0,1
50,75.15,4,0
53,20.25,0,0
58,109.1,5,0
46,30.75,1,0
72,112.9,6,0
1,74.2,0,1
6,94.05,3,0
72,78.85,5,0
4,55.3,1,0
52,19.35,0,0
0,25.35,0,0
2,20.45,0,0
65,19.35,0,0
43,101.0,3,1
4,100.2,3,1
25,89.05,2,1
51,78.65,4,0
12,74.75,3,0
57,70.1,3,1
24,19.9,0,0
64,58.35,2,0
4,105.65,5,1
26,100.5,3,0
15,20.05,0,0
64,25.65,0,0
36,96.5,3,1
27,95.0,2,0
1,70.85,0,1
35,85.95,5,1
4,73.9,1,1
8,45.45,0,0
10,20.0,0,0
2,49.2,1,0
58,109.45,5,1
51,83.25,6,0
46,19.25,0,0
1,19.65,0,0
46,72.8,0,0
50,109.65,5,0
53,65.0,3,0
61,114.1,5,0
5,20.65,0,0
47,86.95,6,0
54,94.75,3,0
19,25.35,0,0
26,105.45,5,0
70,25.4,0,0
17,102.55,4,0
30,100.2,3,1
1,24.0,0,0
19,25.6,0,0
26,73.5,4,0
21,74.05,1,1
50,98.25,3,0
68,54.4,4,0
3,101.55,3,1
9,103.1,4,0
51,34.2,2,0
9,43.75,0,0
41,111.95,5,1
22,100.65,3,0
21,55.95,4,1
71,116.05,6,0
1,45.75,0,1
26,82.0,4,0
71,65.15,3,0
4,44.8,0,0
12,79.8,1,0
18,88.85,2,0
3,74.95,0,0
72,106.85,4,0
11,74.95,1,1
1,80.15,1,1
13,19.3,0,0
72,109.25,5,1
42,56.1,1,0
17,19.7,0,0
7,51.3,1,0
68,118.6,6,0
56,24.15,0,0
38,20.3,0,0
72,115.5,6,0
48,25.05,0,0
52,109.1,5,0
35,19.65,0,0
67,111.3,5,0
1,29.9,1,0
53,80.6,2,0
34,20.8,0,0
3,35.2,1,1
1,78.8,1,1
19,89.95,3,0
60,116.05,6,0
11,19.55,0,0
47,106.4,4,1
18,49.4,1,1
60,115.25,6,0
72,24.8,0,0
39,19.9,0,0
59,81.25,2,0
2,69.95,0,0
1,69.1,0,1
20,90.2,2,1
6,93.55,2,1
71,86.4,2,0
24,66.3,3,0
67,94.65,2,0
1,80.85,1,1
48,82.05,1,1
37,72.1,3,0
11,34.7,2,0
3,20.55,0,1
18,95.95,3,0
50,44.8,0,0
67,109.4,5,0
25,71.05,4,0
2,78.55,1,1
9,19.7,0,0
10,40.25,3,0
70,19.85,0,0
9,68.25,4,0
4,20.15,0,0
2,50.95,1,0
1,78.65,1,1
19,25.15,0,0
7,20.25,0,0
1,42.9,0,1
1,44.0,0,0
9,20.25,0,0
3,34.25,2,1
9,58.5,5,1
5,55.8,2,0
56,88.9,2,0
18,57.65,1,0
49,96.2,2,1
70,79.15,5,0
72,108.05,5,0
6,74.4,1,1
17,94.8,2,0
29,45.9,2,0
6,105.3,4,1
63,102.6,3,0
16,73.85,0,1
59,61.35,2,0
3,57.55,2,0
8,29.25,1,0
7,84.55,1,1
68,19.6,0,0
68,111.75,5,0
52,106.5,4,0
72,107.7,5,0
32,19.3,0,0
72,20.05,0,0
1,69.95,0,0
42,63.7,3,0
25,24.75,0,1
45,50.9,1,0
43,60.4,5,0
37,79.25,4,0
20,85.8,1,1
4,24.45,0,1
63,110.1,6,0
3,90.7,2,0
66,25.3,0,0
28,105.7,4,1
8,85.2,1,0
71,24.35,0,0
1,24.25,0,1
72,25.1,0,0
16,54.55,2,0
66,96.6,4,0
11,76.5,0,1
51,81.15,5,0
8,38.5,2,0
14,92.9,2,0
4,93.5,3,1
70,84.7,5,0
70,66.0,3,0
54,101.5,3,1
28,74.9,1,1
24,20.75,0,0
69,61.45,2,0
42,54.5,2,0
2,69.6,0,1
39,99.75,3,0
45,109.75,5,0
72,80.85,5,0
38,20.3,0,0
72,67.8,4,0
1,24.05,0,1
72,19.8,0,0
55,25.7,0,0
51,56.15,4,0
63,86.7,6,0
1,20.4,0,0
23,19.65,0,0
1,50.55,1,1
2,54.35,1,0
52,108.1,5,0
36,54.45,1,0
1,45.35,0,0
28,59.0,2,0
7,69.45,4,0
14,100.55,3,1
72,64.95,6,0
1,20.5,0,1
10,18.85,0,0
42,19.8,0,0
7,25.05,0,0
4,74.8,1,1
72,114.3,6,0
20,24.45,0,1
63,109.2,6,0
56,45.05,4,0
5,51.0,1,0
72,110.45,5,0
68,84.65,2,0
67,60.05,3,0
8,44.65,0,0
52,93.25,3,0
18,20.25,0,0
59,25.45,0,0
60,20.6,0,0
7,94.1,2,0
59,34.8,2,0
46,60.75,5,0
5,51.35,1,0
59,64.05,5,0
70,84.8,5,0
14,71.0,0,1
44,50.15,0,0
64,94.6,3,0
58,59.75,5,0
46,100.25,3,0
58,98.9,3,0
72,97.7,3,0
30,40.3,2,1
11,60.25,2,0
34,56.25,4,0
54,46.2,3,0
3,50.6,3,1
72,24.9,0,0
40,84.85,2,1
2,65.7,2,1
54,63.35,2,0
14,50.1,1,0
1,70.5,0,1
10,94.85,3,1
1,50.15,1,0
1,19.75,0,1
56,64.65,3,0
68,79.6,5,0
14,19.5,0,0
68,99.55,4,0
55,74.0,0,0
16,38.9,2,0
9,79.55,1,0
14,65.45,3,1
58,98.7,3,1
53,46.3,3,0
70,99.35,4,0
14,95.8,2,0
22,67.5,4,1
10,78.15,1,0
29,26.1,0,0
1,69.6,0,1
49,84.35,5,1
68,100.2,3,1
1,78.05,1,1
30,40.35,2,0
72,79.2,5,0
10,20.9,0,0
7,73.6,0,1
9,74.75,0,1
1,49.9,1,0
20,68.9,3,0
1,20.25,0,0
29,76.0,0,0
1,74.0,1,0
3,82.3,2,0
20,89.4,3,0
64,99.15,4,0
1,20.2,0,1
6,29.45,1,0
50,19.8,0,0
6,59.15,2,0
7,44.75,0,0
72,90.8,2,0
8,49.55,1,0
67,106.7,4,0
24,93.55,2,1
72,94.45,3,0
33,19.45,0,0
2,25.05,0,1
70,67.95,4,0
22,65.25,3,0
59,99.45,4,0
36,20.35,0,0
51,19.95,0,0
53,77.4,4,0
20,19.7,0,0
63,99.7,4,0
40,74.8,1,0
35,19.15,0,0
26,78.95,1,0
27,95.55,3,1
53,62.85,3,0
34,71.55,0,0
19,94.95,2,0
43,86.1,3,0
6,19.55,0,0
56,24.8,0,0
57,39.3,2,1
34,84.05,2,0
10,36.25,2,0
1,20.25,0,1
13,23.9,0,1
56,98.6,3,0
55,103.65,4,0
36,92.9,6,0
47,19.9,0,0
12,20.1,0,0
1,85.45,2,1
24,80.5,1,0
63,99.9,3,1
35,39.85,2,0
67,60.5,3,0
25,84.8,1,1
21,103.85,4,0
13,67.8,4,0
35,75.2,0,1
71,24.85,0,0
29,19.35,0,0
71,49.35,3,1
7,89.0,2,0
57,55.0,4,0
65,76.15,4,0
27,20.3,0,0
6,74.9,0,1
72,117.35,6,0
1,19.75,0,0
11,45.2,0,0
39,25.2,0,0
59,89.75,3,0
26,75.0,4,0
2,49.95,1,0
72,65.7,6,0
65,67.05,3,0
72,110.9,5,0
6,87.95,2,0
32,19.8,0,0
50,75.7,3,0
61,62.15,5,0
15,101.25,4,1
72,115.15,6,0
9,18.95,0,1
1,19.5,0,0
12,86.55,1,0
37,28.6,1,1
61,20.4,0,0
18,19.8,0,0
21,45.65,0,0
68,56.4,5,0
12,73.3,0,0
2,24.35,0,1
62,101.35,3,0
29,98.65,3,1
1,33.6,2,0
5,79.9,1,1
1,20.7,0,0
62,104.05,4,0
36,20.25,0,0
